year,timeframe,rr_ratio,direction,body_size_points,candle_high,candle_low,outcome
2018,5m,10.0,bullish,14.35141399999975,8139.888085,8118.21452,no_exit
2018,5m,1.5,bearish,12.886985000001005,8200.808376,8180.892127,loss
2018,5m,2.0,bearish,12.886985000001005,8200.808376,8180.892127,loss
2018,5m,2.5,bearish,12.886985000001005,8200.808376,8180.892127,loss
2018,5m,3.0,bearish,12.886985000001005,8200.808376,8180.892127,loss
2018,5m,3.5,bearish,12.886985000001005,8200.808376,8180.892127,loss
2018,5m,4.0,bearish,12.886985000001005,8200.808376,8180.892127,loss
2018,5m,4.5,bearish,12.886985000001005,8200.808376,8180.892127,loss
2018,5m,5.0,bearish,12.886985000001005,8200.808376,8180.892127,loss
2018,5m,10.0,bearish,12.886985000001005,8200.808376,8180.892127,loss
2018,5m,1.5,bearish,7.029263999999785,8143.109831,8129.344189,loss
2018,5m,2.0,bearish,7.029263999999785,8143.109831,8129.344189,loss
2018,5m,2.5,bearish,7.029263999999785,8143.109831,8129.344189,loss
2018,5m,3.0,bearish,7.029263999999785,8143.109831,8129.344189,loss
2018,5m,3.5,bearish,7.029263999999785,8143.109831,8129.344189,loss
2018,5m,4.0,bearish,7.029263999999785,8143.109831,8129.344189,loss
2018,5m,4.5,bearish,7.029263999999785,8143.109831,8129.344189,loss
2018,5m,5.0,bearish,7.029263999999785,8143.109831,8129.344189,loss
2018,5m,10.0,bearish,7.029263999999785,8143.109831,8129.344189,loss
2018,5m,1.5,bullish,14.64430099999936,8071.059872,8039.135297,loss
