timeframe,year,date,time,setup_type,direction,sl_percentage,rr_ratio,entry_price,sl_price,tp_price,risk,body_size,outcome,exit_price,exit_time,pnl,bars_held
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,100,2.0,14438.024362,14412.872005,14488.329076000002,25.152357000000848,3.144045000000915,LOSS,14412.872005,2021-03-09 08:33:00,-25.152357000000848,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,100,2.5,14438.024362,14412.872005,14500.905254500001,25.152357000000848,3.144045000000915,LOSS,14412.872005,2021-03-09 08:33:00,-25.152357000000848,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,100,3.0,14438.024362,14412.872005,14513.481433000003,25.152357000000848,3.144045000000915,LOSS,14412.872005,2021-03-09 08:33:00,-25.152357000000848,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,100,3.5,14438.024362,14412.872005,14526.057611500004,25.152357000000848,3.144045000000915,LOSS,14412.872005,2021-03-09 08:33:00,-25.152357000000848,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,100,4.0,14438.024362,14412.872005,14538.633790000004,25.152357000000848,3.144045000000915,LOSS,14412.872005,2021-03-09 08:33:00,-25.152357000000848,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,100,4.5,14438.024362,14412.872005,14551.209968500003,25.152357000000848,3.144045000000915,LOSS,14412.872005,2021-03-09 08:33:00,-25.152357000000848,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,100,5.0,14438.024362,14412.872005,14563.786147000004,25.152357000000848,3.144045000000915,LOSS,14412.872005,2021-03-09 08:33:00,-25.152357000000848,3.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,25,1.0,14563.202573,14544.2542215,14582.150924500002,18.94835150000108,20.878937999999835,WIN,14582.150924500002,2021-03-25 08:36:00,18.94835150000108,6.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,25,1.5,14563.202573,14544.2542215,14591.625100250003,18.94835150000108,20.878937999999835,WIN,14591.625100250003,2021-03-25 08:36:00,28.42252725000253,6.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,25,2.0,14563.202573,14544.2542215,14601.099276000003,18.94835150000108,20.878937999999835,WIN,14601.099276000003,2021-03-25 08:36:00,37.89670300000216,6.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,25,2.5,14563.202573,14544.2542215,14610.573451750002,18.94835150000108,20.878937999999835,WIN,14610.573451750002,2021-03-25 08:37:00,47.37087875000179,7.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,25,3.0,14563.202573,14544.2542215,14620.047627500004,18.94835150000108,20.878937999999835,WIN,14620.047627500004,2021-03-25 08:37:00,56.845054500003236,7.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,25,3.5,14563.202573,14544.2542215,14629.521803250005,18.94835150000108,20.878937999999835,WIN,14629.521803250005,2021-03-25 08:39:00,66.3192302500047,9.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,25,4.0,14563.202573,14544.2542215,14638.995979000005,18.94835150000108,20.878937999999835,WIN,14638.995979000005,2021-03-25 08:40:00,75.79340600000432,10.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,25,4.5,14563.202573,14544.2542215,14648.470154750004,18.94835150000108,20.878937999999835,WIN,14648.470154750004,2021-03-25 09:01:00,85.26758175000396,31.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,25,5.0,14563.202573,14544.2542215,14657.944330500006,18.94835150000108,20.878937999999835,WIN,14657.944330500006,2021-03-25 09:02:00,94.7417575000054,32.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,50,1.0,14563.202573,14539.034487,14587.370659,24.168085999999676,20.878937999999835,WIN,14587.370659,2021-03-25 08:36:00,24.168085999999676,6.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,50,1.5,14563.202573,14539.034487,14599.454701999999,24.168085999999676,20.878937999999835,WIN,14599.454701999999,2021-03-25 08:36:00,36.252128999998604,6.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,50,2.0,14563.202573,14539.034487,14611.538745,24.168085999999676,20.878937999999835,WIN,14611.538745,2021-03-25 08:37:00,48.33617199999935,7.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,50,2.5,14563.202573,14539.034487,14623.622788,24.168085999999676,20.878937999999835,WIN,14623.622788,2021-03-25 08:37:00,60.4202150000001,7.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,50,3.0,14563.202573,14539.034487,14635.706831,24.168085999999676,20.878937999999835,WIN,14635.706831,2021-03-25 08:40:00,72.50425799999903,10.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,50,3.5,14563.202573,14539.034487,14647.790873999998,24.168085999999676,20.878937999999835,WIN,14647.790873999998,2021-03-25 09:01:00,84.58830099999795,31.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,50,4.0,14563.202573,14539.034487,14659.874917,24.168085999999676,20.878937999999835,WIN,14659.874917,2021-03-25 09:02:00,96.6723439999987,32.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,50,4.5,14563.202573,14539.034487,14671.95896,24.168085999999676,20.878937999999835,WIN,14671.95896,2021-03-25 09:02:00,108.75638699999945,32.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,50,5.0,14563.202573,14539.034487,14684.043002999999,24.168085999999676,20.878937999999835,WIN,14684.043002999999,2021-03-25 09:08:00,120.84042999999838,38.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,75,1.0,14563.202573,14533.8147525,14592.5903935,29.38782050000009,20.878937999999835,WIN,14592.5903935,2021-03-25 08:36:00,29.38782050000009,6.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,75,1.5,14563.202573,14533.8147525,14607.28430375,29.38782050000009,20.878937999999835,WIN,14607.28430375,2021-03-25 08:37:00,44.08173075000013,7.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,75,2.0,14563.202573,14533.8147525,14621.978214,29.38782050000009,20.878937999999835,WIN,14621.978214,2021-03-25 08:37:00,58.77564100000018,7.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,75,2.5,14563.202573,14533.8147525,14636.67212425,29.38782050000009,20.878937999999835,WIN,14636.67212425,2021-03-25 08:40:00,73.46955125000022,10.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,75,3.0,14563.202573,14533.8147525,14651.3660345,29.38782050000009,20.878937999999835,WIN,14651.3660345,2021-03-25 09:01:00,88.16346150000027,31.0
1m,2021,2021-03-25,08:30:00,bearish_830_to_bullish_breakout,LONG,75,3.5,14563.202573,14533.8147525,14666.05994475,29.38782050000009,20.878937999999835,WIN,14666.05994475,2021-03-25 09:02:00,102.85737175000031,32.0
